Count,Name,DIAGONALS_01_1_XY,DIAGONALS_01_2_XY,DIAGONALS_01_3_XY,DIAGONALS_01_4_XY,DIAGONALS_01_5_XY,DIAGONALS_01_6_XY,DIAGONALS_003_1_XY,DIAGONALS_003_2_XY,DIAGONALS_003_3_XY,DIAGONALS_003_4_XY,DIAGONALS_003_5_XY,DIAGONALS_003_6_XY,DIAGONALS_02_1_XY,DIAGONALS_02_2_XY,DIAGONALS_02_3_XY,DIAGONALS_02_4_XY,DIAGONALS_02_5_XY,DIAGONALS_02_6_XY,DIAGONALS_005_1_XY,DIAGONALS_005_2_XY,DIAGONALS_005_3_XY,DIAGONALS_005_4_XY,DIAGONALS_005_5_XY,DIAGONALS_005_6_XY,DIAGONALS_006_1_XY,DIAGONALS_006_2_XY,DIAGONALS_006_3_XY,DIAGONALS_006_4_XY,DIAGONALS_006_5_XY,DIAGONALS_006_6_XY,DIAGONALS_007_1_XY,DIAGONALS_007_2_XY,DIAGONALS_007_3_XY,DIAGONALS_007_4_XY,DIAGONALS_007_5_XY,DIAGONALS_007_6_XY,DIAGONALS_08_1_XY,DIAGONALS_08_2_XY,DIAGONALS_08_3_XY,DIAGONALS_08_4_XY,DIAGONALS_08_5_XY,DIAGONALS_08_6_XY,DIAGONALS_08_7_XY,DIAGONALS_08_8_XY,DIAGONALS_09_1_XY,DIAGONALS_09_2_XY,DIAGONALS_09_3_XY,DIAGONALS_09_4_XY,DIAGONALS_09_5_XY,DIAGONALS_09_6_XY,DIAGONALS_09_7_XY,DIAGONALS_09_8_XY,PARALLELS_01_1_XY,PARALLELS_01_2_XY,PARALLELS_01_3_XY,PARALLELS_01_4_XY,PARALLELS_01_5_XY,PARALLELS_01_6_XY,PARALLELS_01_7_XY,PARALLELS_01_8_XY,PARALLELS_02_1_XY,PARALLELS_02_2_XY,PARALLELS_02_3_XY,PARALLELS_02_4_XY,PARALLELS_02_5_XY,PARALLELS_02_6_XY,PARALLELS_02_7_XY,PARALLELS_02_8_XY,PARALLELS_03_1_XY,PARALLELS_03_2_XY,PARALLELS_03_3_XY,PARALLELS_03_4_XY,PARALLELS_03_5_XY,PARALLELS_03_6_XY,PARALLELS_03_7_XY,PARALLELS_03_8_XY
1,Diagonals_01,"120.0000, -3227.9492","120.0000, -207.8461","2760.0000, -1732.0508","2740.0000, -1743.5978","140.0000, -242.4871","140.0000, -3216.4022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_01,"-120.0000, -3227.9492","-120.0000, -207.8461","-2760.0000, -1732.0508","-2740.0000, -1743.5978","-140.0000, -242.4871","-140.0000, -3216.4022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_01,"120.0000, 3227.9492","120.0000, 207.8461","2760.0000, 1732.0508","2740.0000, 1743.5978","140.0000, 242.4871","140.0000, 3216.4022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_01,"-120.0000, 3227.9492","-120.0000, 207.8461","-2760.0000, 1732.0508","-2740.0000, 1743.5978","-140.0000, 242.4871","-140.0000, 3216.4022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_03,,,,,,,"-2800.0000, 1478.0167","-2800.0000, 1454.9227","-280.0000, 0.0000","-2800.0000, -1454.9227","-2800.0000, -1478.0167","-240.0000, 0.0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_03,,,,,,,"-2800.0000, 1478.0167","-2800.0000, 1454.9227","-5320.0000, 0.0000","-2800.0000, -1454.9227","-2800.0000, -1478.0167","-5360.0000, 0.0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_03,,,,,,,"2800.0000, 1478.0167","2800.0000, 1454.9227","280.0000, 0.0000","2800.0000, -1454.9227","2800.0000, -1478.0167","240.0000, 0.0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_03,,,,,,,"2800.0000, 1478.0167","2800.0000, 1454.9227","5320.0000, 0.0000","2800.0000, -1454.9227","2800.0000, -1478.0167","5360.0000, 0.0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_04,,,,,,,,,,,,,"0.0000, -3435.7953","0.0000, -3458.8893","-2600.0000, -4960.0000","0.0000, -6461.1107","0.0000, -6484.2047","-2640.0000, -4960.0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_04,,,,,,,,,,,,,"0.0000, -3435.7953","0.0000, -3458.8893","2600.0000, -4960.0000","0.0000, -6461.1107","0.0000, -6484.2047","2640.0000, -4960.0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_04,,,,,,,,,,,,,"0.0000, 3435.7953","0.0000, 3458.8893","-2600.0000, 4960.0000","0.0000, 6461.1107","0.0000, 6484.2047","-2640.0000, 4960.0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
