Count;DISTRICT;HUMAN INSTINCT;TYPE OF LAND;VLAND ID;COORDINATES;_1_XY;_2_XY;_3_XY;_4_XY;Position X;Position Y;Cluster
1;District 1 Alpha;Curiosity;Exclusive;0001E;2432, 368;2416, 352;2416, 384;2448, 384;2448, 352;2432.0000;368.0000;1
2;District 1 Alpha;Curiosity;Exclusive;0002E;2400, 368;2384, 352;2384, 384;2416, 384;2416, 352;2400.0000;368.0000;1
3;District 1 Alpha;Curiosity;Exclusive;0003E;2368, 368;2352, 352;2352, 384;2384, 384;2384, 352;2368.0000;368.0000;1
4;District 1 Alpha;Curiosity;Exclusive;0004E;2368, 400;2352, 384;2352, 416;2384, 416;2384, 384;2368.0000;400.0000;1
5;District 1 Alpha;Curiosity;Exclusive;0005E;2432, 400;2416, 384;2416, 416;2448, 416;2448, 384;2432.0000;400.0000;1
6;District 1 Alpha;Curiosity;Exclusive;0006E;2432, 432;2416, 416;2416, 448;2448, 448;2448, 416;2432.0000;432.0000;1
7;District 1 Alpha;Curiosity;Exclusive;0007E;2400, 432;2384, 416;2384, 448;2416, 448;2416, 416;2400.0000;432.0000;1
8;District 1 Alpha;Curiosity;Exclusive;0008E;2368, 432;2352, 416;2352, 448;2384, 448;2384, 416;2368.0000;432.0000;1
9;District 1 Alpha;Curiosity;Exclusive;0009E;-2058, -32;-2074, -48;-2074, -16;-2042, -16;-2042, -48;-2058.0000;-32.0000;2
10;District 1 Alpha;Curiosity;Exclusive;0010E;-2090, -32;-2106, -48;-2106, -16;-2074, -16;-2074, -48;-2090.0000;-32.0000;2
11;District 1 Alpha;Curiosity;Exclusive;0011E;-2122, -32;-2138, -48;-2138, -16;-2106, -16;-2106, -48;-2122.0000;-32.0000;2
12;District 1 Alpha;Curiosity;Exclusive;0012E;-2122, 0;-2138, -16;-2138, 16;-2106, 16;-2106, -16;-2122.0000;0.0000;2
13;District 1 Alpha;Curiosity;Exclusive;0013E;-2058, 0;-2074, -16;-2074, 16;-2042, 16;-2042, -16;-2058.0000;0.0000;2
14;District 1 Alpha;Curiosity;Exclusive;0014E;-2058, 32;-2074, 16;-2074, 48;-2042, 48;-2042, 16;-2058.0000;32.0000;2
15;District 1 Alpha;Curiosity;Exclusive;0015E;-2090, 32;-2106, 16;-2106, 48;-2074, 48;-2074, 16;-2090.0000;32.0000;2
16;District 1 Alpha;Curiosity;Exclusive;0016E;-2122, 32;-2138, 16;-2138, 48;-2106, 48;-2106, 16;-2122.0000;32.0000;2
17;District 1 Alpha;Curiosity;Exclusive;0017E;-2432, 368;-2416, 352;-2416, 384;-2448, 384;-2448, 352;-2432.0000;368.0000;3
18;District 1 Alpha;Curiosity;Exclusive;0018E;-2400, 368;-2384, 352;-2384, 384;-2416, 384;-2416, 352;-2400.0000;368.0000;3
19;District 1 Alpha;Curiosity;Exclusive;0019E;-2368, 368;-2352, 352;-2352, 384;-2384, 384;-2384, 352;-2368.0000;368.0000;3
20;District 1 Alpha;Curiosity;Exclusive;0020E;-2368, 400;-2352, 384;-2352, 416;-2384, 416;-2384, 384;-2368.0000;400.0000;3
21;District 1 Alpha;Curiosity;Exclusive;0021E;-2432, 400;-2416, 384;-2416, 416;-2448, 416;-2448, 384;-2432.0000;400.0000;3
22;District 1 Alpha;Curiosity;Exclusive;0022E;-2432, 432;-2416, 416;-2416, 448;-2448, 448;-2448, 416;-2432.0000;432.0000;3
